标题,出发日期,天数,城市,路线,人数,玩法,费用,阅读数,点赞数,评论数
【西班牙】科卡〡探索西班牙中世纪古城,2023-10-17 出发,共1天,,,,探险,,2323,0,0
自驾南疆 | 尉犁胡杨染黄了塔里木河沿岸，大漠深处惊艳了时光（干货贴）,2021-10-24 出发,共6天,巴音郭楞>乌鲁木齐>尉犁>葫芦岛>库尔勒,塔里木河>胡杨林>塔克拉玛干沙漠（巴音郭楞）>尉犁县>塔里木河与塔克拉玛干游览区...,三五好友,自驾 赏秋,人均2000元,1.3万,38,4
30天穷游老柬越（老挝篇）,2022-11-08 出发,共30天,,,独自一人,深度游 穷游 第一次,人均5037元,1.4万,6,0
自驾贡嘎西坡 | 寻一个冬季，四天解锁贡嘎的诱惑（干货贴）#发游记瓜分奖金#,2020-11-19 出发,共4天,康定>甘孜藏族自治州Ganzi Prefecture>贡嘎,泉华滩>雅哈垭口>子梅垭口>甲根坝乡>上木居村>新都桥>冷嘎措>贡嘎寺,三五好友,自驾 冬季,人均2000元,1.2万,34,4
安徽淮北丨运河寻梦游、一座古老又年轻的城市,2021-10-01 出发,共1天,淮北>宿州,中国隋唐大运河博物馆>相山公园,,古镇 探险,,1.2万,45,4
丝路古港潮美北海，一次性打卡多个好玩好看的目的地,2021-09-25 出发,共4天,北海,北海银滩旅游度假区>北海老街>涠洲岛>侨港镇>流下村>北海海上观光,三五好友,深度游 海滨海岛,人均2000元,2952,44,4
珠峰梦想计划第二站：玉珠峰,2021-09-10 出发,共10天,格尔木,察尔汗盐湖>将军楼公园,独自一人,中秋节 登山 探险,人均24680元,2213,50,8
青春在路上，世界在脚下！自驾川甘小众秘境,2021-09-18 出发,共7天,阿坝>若尔盖,莲宝叶则>红原—若尔盖大草原,三五好友,自驾 赏秋,人均2000元,2.3万,192,8
自驾海南环岛东线，从海口到三亚旅行，打卡万宁、陵水和保亭,2021-09-01 出发,共9天,陵水>海口>保亭,猴岛公园>骑楼老街>五公祠>分界洲岛>槟榔谷>呆呆岛>博爱路>得胜沙路>海南省博物...,三五好友,深度游 环游 购物 美食 自驾,人均10000元,1.4万,59,4
西北最美的小众游路线：山水肃南，裕固家园,2021-09-17 出发,共5天,肃南>张掖,张掖外星谷景区>冰沟丹霞景区>康乐草原>裕固风情走廊景区>巴尔斯雪山>文殊寺石窟群...,情侣,深度游 摄影,人均1800元,1.2万,87,3
8日游,2021-09-21 出发,共8天,,,,,人均200元,1.2万,39,4
拯救周末计划丨2天1晚丨稻谷丰收的龙脊梯田，金灿灿的一片谁不爱呢？,2020-10-17 出发,共2天,龙胜>桂林>龙脊梯田The longji yao and zhuang ethnic terrace,龙脊梯田>金坑梯田>龙脊梯田·绿原春酒店(金佛顶观景台店)>田头寨>龙脊平安壮族梯田...,三五好友,深度游 自驾 短途周末 赏秋,人均600元,1.4万,59,4
贰人叁日襄阳穷游记,2021-08-24 出发,共3天,襄阳,古隆中>习家池>襄阳站>三顾堂>襄州站,家庭,穷游 暑假 短途周末 夏季,人均350元,8420,15,2
"重庆,成都,峨眉山12日游",2021-06-23 出发,共12天,重庆>成都>九寨沟>峨眉山,江北机场T3航站楼>解放碑步行街>洪崖洞民俗风貌区>磁器口古镇>天龙桥>湖广会馆...,家庭,深度游 美食 暑假,人均5000元,1.4万,51,8
第一次团游新疆,2021-09-13 出发,共10天,乌鲁木齐,新疆国际大巴扎>新疆维吾尔自治区博物馆,家庭,中秋节 第一次,人均9847元,1.2万,37,6
2021中秋川渝7日游,2021-09-19 出发,共7天,成都>都江堰>重庆,背包十年青年旅舍(成都春熙路店)>人民公园>锦里古街>杜甫草堂>青羊宫>四川科技馆...,,中秋节,,2343,56,9
桂林山水甲天下？惊喜在隐藏路线,2021-04-03 出发,共4天,阳朔>桂林,桂林千古情>阳朔>日月双塔>象鼻山景区>十里画廊>大榕树>遇龙河景区,情侣,清明 自驾 骑行 短途周末,人均1500元,7193,21,5
一日一景一食--呼伦贝尔,2021-09-01 出发,共4天,呼伦贝尔>额尔古纳>满洲里,呼伦湖>海拉尔>呼伦贝尔民族博物馆>朝鲜老太太热面>成吉思汗广场>清真羊汤肉饼(溜...,独自一人,徒步 赏秋 第一次,人均3000元,8627,62,5
以“康定情歌风景区”自傲的木格措,2021-09-22 出发,共2天,康定,木格措>七色海>药池沸泉>三叠瀑>红石滩,独自一人,深度游 摄影 赏秋,,1.7万,55,4
飞驰人生，寻味川西秋韵,2020-10-05 出发,共21天,康定>九寨沟>松潘>新龙>稻城>阿坝>玛曲>色达县Sedaxian>理塘>甘孜藏族自治州Ga...,新都桥>九寨沟风景区>川主寺镇>措卡湖>稻城亚丁>塔公草原>莲宝叶则>聚福源牦牛肉...,三五好友,深度游 自驾 摄影 赏秋,人均5500元,9931,63,8
兜爷看世界⑥——来青岛吧，攀一座山，爱一座城，追一个梦,2021-10-03 出发,共3天,青岛,青岛啤酒博物馆>黄岛>青岛啤酒街>青岛啤酒厂,家庭,深度游 国庆,人均1000元,3918,51,8
张家界两天两晚周末游,2021-04-23 出发,共2天,张家界,天门山国家森林公园>武陵源>湘水人家>张家界天门狐仙实景演出>天门山索道>胡师傅三...,三五好友,自驾 短途周末,人均500元,2580,20,3
北京环球度假村攻略,2021-09-06 出发,共1天,北京,北京环球度假区,独自一人,深度游 赏秋 第一次,,1.6万,55,3
雾都重庆，半城烟火半城山,2021-09-16 出发,共3天,重庆,魁星楼>洪崖洞民俗风貌区>嘉陵江>洪崖洞>联合国际大厦>解放碑商圈>长江索道>湖广...,三五好友,游轮 短途周末 摄影,人均1500元,1.9万,82,8
京津5日游,2020-10-19 出发,共5天,北京>天津>怀柔,故宫博物院>正阳门>天安门城楼>五大道>香山公园>箭扣长城>国家奥林匹克体育中心...,独自一人,深度游 美食 徒步 赏秋,人均1400元,4556,53,4
香丽大三地经典游，山野君带你一起看美景！,2021-09-20 出发,共1天,大理>丽江>阳朔>迪庆,下关>黑龙潭公园>束河古镇>丽江古城>大研古城>狮子山>兴坪古镇>阳朔>茶马古道,,美食 古镇 自驾 踏春,,1741,0,0
陕西西安五天四晚深度游,2021-09-17 出发,共5天,西安>怀化,西安钟楼>芷江机场>陕西历史博物馆>秦始皇帝陵博物院(兵马俑)>马洪小炒泡馍馆(钟楼...,情侣,深度游 中秋节,人均500元,1.2万,62,5
中原地区十二日精华游,2019-08-26 出发,共12天,石家庄>大同>太原>忻州>银川>延安>榆林,小放牛(北国先天下店)>大同古城墙>东湖醋园,独自一人,深度游 暑假 徒步,人均3000元,9110,59,6
8月疫情，计划几年的新疆游变成了河西走廊往返自驾,2021-07-24 出发,共14天,天水>张掖,麦积山石窟>临泽丹霞,家庭,美食 温泉 自驾 暑假,人均3300元,1.4万,48,8
“世遗泉州”沉浸式体验之旅 第一次去泉州应该怎么玩，看过这篇就够了！,2021-09-02 出发,共5天,泉州,大开元寺>泉州站>晋江机场>天后宫>德济门遗址>泉州酒店>金鱼巷>清源山>老君岩...,三五好友,深度游 美食 中秋节 暑假 第一次,人均2000元,7.3万,69,6
贺兰山东麓品酒之旅，致敬“醉”有味的宁夏,2021-05-24 出发,共8天,阿拉善盟>银川,贺兰山>镇北堡西部影城>龙谕酒庄,三五好友,深度游 美食 中秋节 踏春 第一次,人均10000元,1.3万,75,10
贰人洪湖赤壁叁日穷游记,2021-09-02 出发,共3天,赤壁>荆州>洪湖,赤壁古战场>洪湖悦兮半岛国际温泉度假村>瞿家湾>羊楼洞古镇>羊楼洞,家庭,穷游 温泉 自驾 暑假 短途周末 赏秋,人均360元,2.6万,73,8
西藏净化之旅，寻找自己,2021-09-11 出发,共1天,西安>拉萨>林芝>米林,西安站>西安汽车站>西藏和平解放纪念碑>八廓街>大昭寺广场>卡定沟景区>雅鲁藏布大...,闺蜜,第一次,人均5800元,1559,30,3
在古城泉州，看见宋元中国，七日旅游攻略,2021-09-01 出发,共7天,泉州,天后宫>泉州博物馆>清净寺>海外交通史博物馆>大开元寺>承天寺>泉州站>晋江机场...,三五好友,深度游 美食 国庆,人均3000元,2.9万,47,3
2021年秋，约会延吉、敦化,2021-08-30 出发,共5天,珲春>图们>敦化>长白山池西Changbaishanchixi,防川风景区>图们口岸>百年部落>雁鸣湖湿地,闺蜜,赏秋,,1万,68,8
再游九黄线，情系风景中,2021-09-06 出发,共3天,九寨沟>黄龙风景名胜区Huanglong,神仙池风景区>九寨沟风景区>九寨沟爱情海景区,独自一人,深度游 摄影 夏季,,1.2万,43,4
传承千年的泉州，好一座信仰之城,2021-08-27 出发,共4天,泉州,大开元寺>泉州府文庙>清净寺>老君岩>悦友叶记姜母鸭(丰泽店)>天后宫>德济门遗址...,三五好友,,人均2000元,2414,39,4
传承千年的泉州，好一座信仰之城,2021-08-27 出发,共4天,泉州,大开元寺>泉州府文庙>清净寺>老君岩>金鱼巷>觅鲤文创园>小城故事会(鲤城店)>关岳...,三五好友,深度游 美食 自驾 夏季 国庆,人均2000元,5万,64,4
青海甘肃的心动之旅,2021-07-25 出发,共8天,西宁>敦煌>兰州>张掖>刚察,塔尔寺>鸣沙山月牙泉>莫高窟>黄河铁桥>甘肃省博物馆>白塔山公园>正宁路小吃夜市...,三五好友,,人均6000元,1万,56,4
泉州丨走的是历史的足迹，品的是最传统的乡情！,2021-08-26 出发,共4天,泉州,清源山>泉州开元寺>西街>清净寺>真武庙>蟳埔村>小城故事会(鲤城店)>泮宫古早味...,三五好友,深度游 美食 自驾 中秋节 摄影,人均2000元,4.7万,67,7
海西1日游,2021-08-27 出发,共8天,兰州>海西>祁连,兰州牛肉面>茫崖西部商务宾馆>乌兰县站>卓尔山>兰州大碗家青年旅舍,独自一人,暑假 徒步,人均2400元,1.1万,44,9
泉州红与大海蓝的碰撞，造就了这座低调的世遗之城,2021-08-25 出发,共5天,泉州,蟳埔村>大开元寺>承天寺>天后宫>清源山>老君岩>清净寺>关岳庙>泉州湾古船陈列馆...,三五好友,深度游 美食 海滨海岛 摄影,人均2000元,6.9万,101,5
两天一夜广东顺德觅食玩乐之旅，收藏好这些一定不虚此行,2021-09-05 出发,共2天,佛山,寻味顺德·顺风顺水顺景私房菜(近良店)>椰奶奶甜品>佛山顺德喜来登酒店>有骨气>乐漫...,三五好友,美食 自驾 短途周末,人均500元,1.3万,44,4
从孕期到产后，一直心心念念着澳门，重游的感觉就像又度了一次蜜月！,2021-04-07 出发,共4天,澳门Macau,氹仔岛>澳门半岛>玫瑰堂>路环岛>路环图书馆>龙环葡韵住宅式博物馆>十月初五马路...,情侣,深度游 蜜月 购物 漫游 美食,人均4000元,1.6万,85,6
川中48时辰·寻古川南   夏日的小确幸，是穿过时间遇见你,2021-07-24 出发,共2天,泸县>内江,泸县宋代石刻博物馆>玉蟾山,三五好友,深度游 温泉 自驾 暑假 短途周末 夏季,人均600元,1.7万,80,6
青甘大环线心游记,2021-07-26 出发,共6天,西宁>敦煌,塔尔寺>莫高窟>鸣沙山月牙泉>沙洲市场>月牙泉>鸣沙山>沙洲夜市>益鑫羊肉手抓馆,情侣,美食 自驾 暑假 摄影,人均7200元,1.7万,62,13
海南五天四夜,2021-02-19 出发,共1天,三亚>万宁,三亚湾>解放路步行街>亚龙湾热带天堂森林公园>太阳湾>日月湾冲浪基地>三亚免税店...,,,,1.7万,39,7
我的自驾：皖黔大环线    匆匆行万里（2021）,2021-07-22 出发,共10天,重庆>遵义,重庆秀山豪生大酒店,家庭,美食 自驾 暑假,,1.4万,62,7
天坑桥、地缝、大峡谷 -- 武隆、恩施喀斯特地貌游记,2021-08-28 出发,共3天,恩施>武隆,云龙河地缝,三五好友,深度游 摄影 夏季,,1.4万,59,4
路过人间，无非一瞬间（云浮、茂名）,2021-08-30 出发,共3天,罗定>高州>茂名>电白,罗定长岗坡渡槽>高凉郡古城>牙象大地艺术公园>露天矿生态公园>茂名童子湾旅游景区,独自一人,自驾 中秋节 短途周末 摄影 夏季,人均1200元,1.4万,55,5
带着宝贝去旅游之泉州平潭厦门篇 2021/6/24-6/29,2021-06-24 出发,共6天,平潭,东海仙境>平潭岛>北岚岭>北港村>仙人井,亲子,美食 海滨海岛 暑假,,1.4万,65,4
3日小环线｜和隐秘甘南的初次相见,2021-08-30 出发,共5天,夏河>迭部>兰州>甘南>郎木寺Langmusi,桑科草原>拉卜楞寺>扎尕那>甘肃省博物馆,三五好友,美食 端午 中秋节 摄影 第一次,人均3000元,1万,61,8
景德镇  到“瓷”一游！72小时，世界千年瓷都穿越之旅,2021-08-30 出发,共3天,景德镇>浮梁,三宝国际陶艺村>古窑民俗博览区>程氏宗祠>瑶里千年古镇>高岭国家矿山公园>绕南陶瓷...,三五好友,深度游 购物 古镇 摄影,,1.4万,40,4
颐和园见闻,2021-08-28 出发,共1天,北京,颐和园>玉带桥,,摄影,,4743,17,4
难忘的旅行－－暑假2021青岛之行,2021-07-17 出发,共10天,青岛>武汉,栈桥>青岛站>情人坝>德国风情街>青岛>老舍故居>青岛奥帆中心>团岛>胶州湾海底隧...,亲子,深度游 购物 海滨海岛 暑假 夏季 徒步,人均2000元,3712,43,4
长白山避暑|在边陲小镇的夏日里寻觅22℃的秘境之旅,2021-08-10 出发,共4天,长白山Changbaishan,,情侣,漫游 温泉 骑行 短途周末 摄影 夏季,人均1500元,1.3万,40,5
【自驾沈北】城市近郊逛三天，烧烤露营玩不厌,2021-08-14 出发,共3天,,,家庭,自驾 短途周末 摄影 夏季 探险,人均100元,2761,59,4
#发游记 赢周边# 不典型蓉城夏日之旅（成都巴适指南2.0版本）,2020-08-25 出发,共9天,成都>宜宾,金沙遗址博物馆>明婷小馆(太古里店)>INVISI Coffee Shop(锦江2店)>成都远洋太古里...,独自一人,深度游 美食 暑假 摄影 夏季,人均9000元,6.4万,438,12
一场为期八天的说走就走的内蒙古之旅,2021-08-22 出发,共1天,呼伦贝尔>海拉尔>满洲里>根河,海拉尔>草原游牧人家>呼伦贝尔民族博物馆,,,,9696,37,7
大美新疆,2021-07-16 出发,共8天,布尔津>伊犁>乌鲁木齐,布尔津县>额尔齐斯河>五彩滩>神仙湾>喀纳斯湖>喀纳斯景区>月亮湾>贾登峪>卧龙湾...,家庭,夏季 第一次,人均9300元,1.1万,56,5
你与世界的距离 只差一场说走就走的旅行——厦门行,2017-02-04 出发,共5天,厦门Xiamen>鼓浪屿,曾厝垵>环岛路>演武大桥>鼓浪屿>琴园>皓月园>菽庄花园>钢琴博物馆>三丘田码头...,情侣,深度游 海滨海岛 寒假 摄影,,1.2万,39,6
盛夏，狂欢又梦幻，一场度假让我回到童年,2021-08-20 出发,共3天,昆明,七彩云南古滇名城>七彩云南欢乐世界>博塑八千集·古滇营地>古滇朵拉萌宠乐园>七彩云...,三五好友,漫游 温泉 自驾 暑假 短途周末 夏季,人均3000元,1.9万,126,5
吹吹嵊泗的海风丨完美夏日，泗礁岛、枸杞岛、花鸟岛亲子五日戏水、玩沙、摄影行记,2021-07-13 出发,共5天,嵊泗>舟山>上海,大悲山>花鸟岛>枸杞岛>嵊山岛>三礁江大桥>山海奇观>东崖绝壁>枸杞大王沙滩景区,亲子,摄影 夏季,人均4000元,9833,76,6
大西北青甘环线9日游：宫崎骏童话青海湖，敦煌莫高窟，苍茫沉寂又柔情一身,2020-08-08 出发,共9天,海西,雅丹魔鬼城>大柴旦翡翠湖旅游景区>315国道>东台吉乃尔湖,三五好友,深度游 环游 暑假 摄影 夏季 探险,人均7000元,9858,46,8
逃离疫情·环大西北3513公里的公路旅行,2021-08-18 出发,共1天,格尔木>西宁>海西>青海湖qinghaihu,察尔汗盐湖>塔尔寺>乌素特水上雅丹地质公园>315国道,独自一人,环游 自驾 摄影 夏季 第一次,人均8000元,1.2万,54,9
海南万宁，三亚七日游,2021-07-26 出发,共7天,三亚,海棠湾>后海村>椰梦长廊>天涯镇>亚龙湾>三亚湾>南山文化旅游区>三亚免税店>cdf...,家庭,蜜月 美食 暑假 夏季,人均9000元,1.2万,42,8
吉林--广西--吉林,2021-07-10 出发,共20天,南京>长沙>南宁>荔波>张家界>合浦>蓬莱>韩城>张家口>马来西亚(芙蓉Seremban),夫子庙>长沙世界之窗>中山路美食街>小七孔古桥>荔波小七孔景区>天门山国家森林公园...,家庭,自驾 暑假,人均5000元,1.2万,69,5
访古凉州，吟一首边塞诗，唱尽宝藏武威的前世今生,2021-04-03 出发,共5天,武威,天梯山石窟>南城门广场>武威西夏博物馆>武威文庙>大云寺铜钟>鸠摩罗什寺>雷台汉墓...,三五好友,深度游 清明 自驾 摄影,人均2000元,2万,130,8
逃离现代和署热，走进历史的清凉与繁华,2021-07-21 出发,共10天,张家口>大同>浑源>蔚县,张家口堡景区>云泉寺>观音堂>九龙壁>悬空寺>善化寺>大同市博物馆>法华寺>南安寺...,独自一人,漫游 古镇 夏季,人均2300元,8526,53,8
新疆：闯荡天山南北，邂逅西域情怀,2019-08-04 出发,共15天,布尔津>喀什市>伊犁>博乐>乌鲁木齐>昌吉市>喀纳斯Kanasi,布尔津县>喀纳斯湖>喀什老城>天鹅湖>五彩滩>喀纳斯景区>月亮湾>赛里木湖>胡杨林...,家庭,环游 购物 美食 摄影 夏季,人均10000元,1.3万,54,5
